tokenizer,family,category,mean_tokens,median_tokens,max_tokens,n
BERT,WordPiece,Plain integers,2.5,2.0,8,16
BERT,WordPiece,Formatted integers (commas),4.2,3.5,7,10
BERT,WordPiece,Decimals,3.727272727272727,3.0,6,11
BERT,WordPiece,Scientific notation,4.888888888888889,5.0,6,9
BERT,WordPiece,Dates,5.555555555555555,6.0,6,9
BERT,WordPiece,Times,4.222222222222222,4.0,7,9
BERT,WordPiece,Currency,3.8333333333333335,3.5,9,12
BERT,WordPiece,Percentages,3.5,4.0,5,8
BERT,WordPiece,Fractions,3.0,3.0,3,8
GPT-2,Byte-BPE,Plain integers,1.75,1.5,4,16
GPT-2,Byte-BPE,Formatted integers (commas),4.1,3.0,7,10
GPT-2,Byte-BPE,Decimals,3.4545454545454546,3.0,5,11
GPT-2,Byte-BPE,Scientific notation,4.777777777777778,5.0,6,9
GPT-2,Byte-BPE,Dates,5.333333333333333,6.0,6,9
GPT-2,Byte-BPE,Times,4.222222222222222,4.0,7,9
GPT-2,Byte-BPE,Currency,4.0,4.0,9,12
GPT-2,Byte-BPE,Percentages,3.5,4.0,5,8
GPT-2,Byte-BPE,Fractions,3.0,3.0,3,8
RoBERTa,Byte-BPE,Plain integers,1.75,1.5,4,16
RoBERTa,Byte-BPE,Formatted integers (commas),4.1,3.0,7,10
RoBERTa,Byte-BPE,Decimals,3.4545454545454546,3.0,5,11
RoBERTa,Byte-BPE,Scientific notation,4.777777777777778,5.0,6,9
RoBERTa,Byte-BPE,Dates,5.333333333333333,6.0,6,9
RoBERTa,Byte-BPE,Times,4.222222222222222,4.0,7,9
RoBERTa,Byte-BPE,Currency,4.0,4.0,9,12
RoBERTa,Byte-BPE,Percentages,3.5,4.0,5,8
RoBERTa,Byte-BPE,Fractions,3.0,3.0,3,8
BLOOM,Byte-BPE (multi),Plain integers,1.4375,1.0,2,16
BLOOM,Byte-BPE (multi),Formatted integers (commas),4.0,3.0,7,10
BLOOM,Byte-BPE (multi),Decimals,3.272727272727273,3.0,4,11
BLOOM,Byte-BPE (multi),Scientific notation,3.7777777777777777,4.0,5,9
BLOOM,Byte-BPE (multi),Dates,4.111111111111111,4.0,6,9
BLOOM,Byte-BPE (multi),Times,2.6666666666666665,3.0,5,9
BLOOM,Byte-BPE (multi),Currency,3.4166666666666665,3.5,7,12
BLOOM,Byte-BPE (multi),Percentages,2.5,3.0,4,8
BLOOM,Byte-BPE (multi),Fractions,1.875,2.0,3,8
T5,SentencePiece,Plain integers,2.25,2.0,5,16
T5,SentencePiece,Formatted integers (commas),2.4,2.0,5,10
T5,SentencePiece,Decimals,2.6363636363636362,2.0,5,11
T5,SentencePiece,Scientific notation,3.7777777777777777,4.0,5,9
T5,SentencePiece,Dates,4.333333333333333,4.0,6,9
T5,SentencePiece,Times,4.0,4.0,7,9
T5,SentencePiece,Currency,3.1666666666666665,2.5,7,12
T5,SentencePiece,Percentages,2.375,2.0,4,8
T5,SentencePiece,Fractions,2.125,2.0,4,8
XLM-R,SentencePiece (multi),Plain integers,1.75,1.5,4,16
XLM-R,SentencePiece (multi),Formatted integers (commas),2.3,2.0,4,10
XLM-R,SentencePiece (multi),Decimals,2.090909090909091,2.0,3,11
